common_name,scientific_name
Himalayan Flameback,Dinopium shorii
Common Flameback,Dinopium javanense
Black-rumped Flameback,Dinopium benghalense
Greater Flameback,Chrysocolaptes guttacristatus
Malabar Flameback,Chrysocolaptes socialis
White-naped Woodpecker,Chrysocolaptes festivus
Pale-headed Woodpecker,Gecinulus grantia
Bay Woodpecker,Blythipicus pyrrhotis
Rufous Woodpecker,Micropternus brachyurus
Great Slaty Woodpecker,Mulleripicus pulverulentus
Collared Falconet,Microhierax caerulescens
Pied Falconet,Microhierax melanoleucos
Lesser Kestrel,Falco naumanni
Common Kestrel,Falco tinnunculus
Red-necked Falcon,Falco chicquera
Red-footed Falcon,Falco vespertinus
Amur Falcon,Falco amurensis
Merlin,Falco columbarius
Eurasian Hobby,Falco subbuteo
Oriental Hobby,Falco severus
Laggar Falcon,Falco jugger
Saker Falcon,Falco cherrug
Peregrine Falcon,Falco peregrinus
Grey-headed Parakeet,Psittacula finschii
Slaty-headed Parakeet,Psittacula himalayana
Blossom-headed Parakeet,Psittacula roseata
Plum-headed Parakeet,Psittacula cyanocephala
Red-breasted Parakeet,Psittacula alexandri
Lord Derby's Parakeet,Psittacula derbiana
Long-tailed Parakeet,Psittacula longicauda
Blue-winged Parakeet,Psittacula columboides
Alexandrine Parakeet,Psittacula eupatria
Rose-ringed Parakeet,Psittacula krameri
Nicobar Parakeet,Psittacula caniceps
Vernal Hanging Parrot,Loriculus vernalis
Long-tailed Broadbill,Psarisomus dalhousiae
Grey-lored Broadbill,Serilophus rubropygius
Silver-breasted Broadbill,Serilophus lunatus
Blue-naped Pitta,Hydrornis nipalensis
Blue Pitta,Hydrornis cyaneus
Indian Pitta,Pitta brachyura
Blue-winged Pitta,Pitta moluccensis
Mangrove Pitta,Pitta megarhyncha
Hooded Pitta,Pitta sordida
Bar-winged Flycatcher-shrike,Hemipus picatus
Large Woodshrike,Tephrodornis virgatus
Malabar Woodshrike,Tephrodornis sylvicola
Common Woodshrike,Tephrodornis pondicerianus
Ashy Woodswallow,Artamus fuscus
White-breasted Woodswallow,Artamus leucorynchus
Common Iora,Aegithina tiphia
Marshall's Iora,Aegithina nigrolutea
White-bellied Minivet,Pericrocotus erythropygius
Small Minivet,Pericrocotus cinnamomeus
Grey-chinned Minivet,Pericrocotus solaris
Short-billed Minivet,Pericrocotus brevirostris
Long-tailed Minivet,Pericrocotus ethologus
Orange Minivet,Pericrocotus flammeus
Scarlet Minivet,Pericrocotus speciosus
Ashy Minivet,Pericrocotus divaricatus
Swinhoe's Minivet,Pericrocotus cantonensis
Rosy Minivet,Pericrocotus roseus
Bar-bellied Cuckooshrike,Coracina striata
Large Cuckooshrike,Coracina macei
Andaman Cuckooshrike,Coracina dobsoni
Pied Triller,Lalage nigra
Black-winged Cuckooshrike,Lalage melaschistos
Black-headed Cuckooshrike,Lalage melanoptera
Mangrove Whistler,Pachycephala cinerea
Green Shrike-babbler,Pteruthius xanthochlorus
Black-eared Shrike-babbler,Pteruthius melanotis
Black-headed Shrike-babbler,Pteruthius rufiventer
White-browed Shrike-babbler,Pteruthius aeralatus
Clicking Shrike-babbler,Pteruthius intermedius
White-bellied Erpornis,Erpornis zantholeuca
Maroon Oriole,Oriolus traillii
Black-hooded Oriole,Oriolus xanthornus
Indian Golden Oriole,Oriolus kundoo
Eurasian Golden Oriole,Oriolus oriolus
Black-naped Oriole,Oriolus chinensis
Slender-billed Oriole,Oriolus tenuirostris
Bronzed Drongo,Dicrurus aeneus
Lesser Racket-tailed Drongo,Dicrurus remifer
Crow-billed Drongo,Dicrurus annectens
Greater Racket-tailed Drongo,Dicrurus paradiseus
Andaman Drongo,Dicrurus andamanensis
Hair-crested Drongo,Dicrurus hottentottus
Short-tailed Drongo,Dicrurus striatus
Ashy Drongo,Dicrurus leucophaeus
White-bellied Drongo,Dicrurus caerulescens
Black Drongo,Dicrurus macrocercus
White-throated Fantail,Rhipidura albicollis
White-spotted Fantail,Rhipidura albogularis
White-browed Fantail,Rhipidura aureola
Black-naped Monarch,Hypothymis azurea
Indian Paradise Flycatcher,Terpsiphone paradisi
Blyth's Paradise Flycatcher,Terpsiphone affinis
Amur Paradise Flycatcher,Terpsiphone incei
Great Grey Shrike,Lanius excubitor
Masked Shrike,Lanius nubicus
Lesser Grey Shrike,Lanius minor
Woodchat Shrike,Lanius senator
Burmese Shrike,Lanius collurioides
Bay-backed Shrike,Lanius vittatus
Isabelline Shrike,Lanius isabellinus
Red-backed Shrike,Lanius collurio
Red-tailed Shrike,Lanius phoenicuroides
Brown Shrike,Lanius cristatus
Long-tailed Shrike,Lanius schach
Grey-backed Shrike,Lanius tephronotus
Eurasian Jay,Garrulus glandarius
Black-headed Jay,Garrulus lanceolatus
Yellow-billed Blue Magpie,Urocissa flavirostris
Red-billed Blue Magpie,Urocissa erythroryncha
Common Green Magpie,Cissa chinensis
Rufous Treepie,Dendrocitta vagabunda
Grey Treepie,Dendrocitta formosae
White-bellied Treepie,Dendrocitta leucogastra
Collared Treepie,Dendrocitta frontalis
Andaman Treepie,Dendrocitta bayleii
Eurasian Magpie,Pica pica
Black-rumped Magpie,Pica bottanensis
Spotted Nutcracker,Nucifraga caryocatactes
Kashmir Nutcracker,Nucifraga multipunctata
Red-billed Chough,Pyrrhocorax pyrrhocorax
Alpine Chough,Pyrrhocorax graculus
Western Jackdaw,Coloeus monedula
House Crow,Corvus splendens
Rook,Corvus frugilegus
Carrion Crow,Corvus corone
Hooded Crow,Corvus cornix
Large-billed Crow,Corvus macrorhynchos
Eastern Jungle Crow,Corvus levaillantii
Indian Jungle Crow,Corvus culminatus
Pied Crow,Corvus albus
Northern Raven,Corvus corax
Bohemian Waxwing,Bombycilla garrulus
Grey Hypocolius,Hypocolius ampelinus
Yellow-bellied Fantail,Chelidorhynx hypoxanthus
Grey-headed Canary-flycatcher,Culicicapa ceylonensis
Fire-capped Tit,Cephalopyrus flammiceps
Yellow-browed Tit,Sylviparus modestus
Sultan Tit,Melanochlora sultanea
Rufous-naped Tit,Periparus rufonuchalis
Rufous-vented Tit,Periparus rubidiventris
Coal Tit,Periparus ater
Grey-crested Tit,Lophophanes dichrous
Azure Tit,Cyanistes cyanus
Ground Tit,Pseudopodoces humilis
Great Tit,Parus major
Cinereous Tit,Parus cinereus
Green-backed Tit,Parus monticolus
White-naped Tit,Machlolophus nuchalis
Himalayan Black-lored Tit,Machlolophus xanthogenys
Indian Black-lored Tit,Machlolophus aplonotus
Yellow-cheeked Tit,Machlolophus spilonotus
White-crowned Penduline Tit,Remiz coronatus
Greater Hoopoe-Lark,Alaemon alaudipes
Desert Lark,Ammomanes deserti
Rufous-tailed Lark,Ammomanes phoenicura
Black-crowned Sparrow-Lark,Eremopterix nigriceps
Ashy-crowned Sparrow-Lark,Eremopterix griseus
Singing Bush Lark,Mirafra javanica
Bengal Bush Lark,Mirafra assamica
Indian Bush Lark,Mirafra erythroptera
Jerdon's Bush Lark,Mirafra affinis
Oriental Skylark,Alauda gulgula
Eurasian Skylark,Alauda arvensis
Sykes's Lark,Galerida deva
Crested Lark,Galerida cristata
Malabar Lark,Galerida malabarica
Horned Lark,Eremophila alpestris
Hume's Short-toed Lark,Calandrella acutirostris
Mongolian Short-toed Lark,Calandrella dukhunensis
Greater Short-toed Lark,Calandrella brachydactyla
Bimaculated Lark,Melanocorypha bimaculata
Tibetan Lark,Melanocorypha maxima
Turkestan Short-toed Lark,Alaudala heinei
Sand Lark,Alaudala raytal
White-throated Bulbul,Alophoixus flaveolus
Striated Bulbul,Alcurus striatus
Cachar Bulbul,Iole cacharensis
Grey-eyed Bulbul,Iole propinqua
Ashy Bulbul,Hemixos flavala
Yellow-browed Bulbul,Acritillas indica
Mountain Bulbul,Ixos mcclellandii
Nicobar Bulbul,Ixos nicobariensis
Black Bulbul,Hypsipetes leucocephalus
Square-tailed Bulbul,Hypsipetes ganeesa
Grey-headed Bulbul,Brachypodius priocephalus
Black-headed Bulbul,Brachypodius melanocephalos
Andaman Bulbul,Brachypodius fuscoflavescens
Black-crested Bulbul,Rubigula flaviventris
Flame-throated Bulbul,Rubigula gularis
Crested Finchbill,Spizixos canifrons
White-browed Bulbul,Pycnonotus luteolus
Flavescent Bulbul,Pycnonotus flavescens
Yellow-throated Bulbul,Pycnonotus xantholaemus
Red-whiskered Bulbul,Pycnonotus jocosus
Red-vented Bulbul,Pycnonotus cafer
White-eared Bulbul,Pycnonotus leucotis
Himalayan Bulbul,Pycnonotus leucogenys
Sand Martin,Riparia riparia
Pale Martin,Riparia diluta
Grey-throated Martin,Riparia chinensis
Eurasian Crag Martin,Ptyonoprogne rupestris
Pale Crag Martin,Ptyonoprogne obsoleta
Dusky Crag Martin,Ptyonoprogne concolor
Pacific Swallow,Hirundo tahitica
Hill Swallow,Hirundo domicola
Wire-tailed Swallow,Hirundo smithii
Barn Swallow,Hirundo rustica
Western House Martin,Delichon urbicum
Siberian House Martin,Delichon lagopodum
Nepal House Martin,Delichon nipalense
Asian House Martin,Delichon dasypus
Red-rumped Swallow,Cecropis daurica
Striated Swallow,Cecropis striolata
Streak-throated Swallow,Petrochelidon fluvicola
Scaly-breasted Cupwing,Pnoepyga albiventer
Nepal Cupwing,Pnoepyga immaculata
Pygmy Cupwing,Pnoepyga pusilla
Yellow-bellied Warbler,Abroscopus superciliaris
Rufous-faced Warbler,Abroscopus albogularis
Black-faced Warbler,Abroscopus schisticeps
Mountain Tailorbird,Phyllergates cucullatus
Broad-billed Warbler,Tickellia hodgsoni
Manchurian Bush Warbler,Horornis canturians
Brown-flanked Bush Warbler,Horornis fortipes
Hume's Bush Warbler,Horornis brunnescens
Aberrant Bush Warbler,Horornis flavolivaceus
Grey-bellied Tesia,Tesia cyaniventer
Slaty-bellied Tesia,Tesia olivea
Cetti's Warbler,Cettia cetti
Chestnut-crowned Bush Warbler,Cettia major
Grey-sided Bush Warbler,Cettia brunnifrons
Chestnut-headed Tesia,Cettia castaneocoronata
Asian Stubtail,Urosphena squameiceps
Pale-footed Bush Warbler,Hemitesia pallidipes
White-browed Tit-warbler,Leptopoecile sophiae
Crested Tit-warbler,Leptopoecile elegans
White-cheeked Bushtit,Aegithalos leucogenys
Black-throated Bushtit,Aegithalos concinnus
White-throated Bushtit,Aegithalos niveogularis
Rufous-fronted Bushtit,Aegithalos iouschistos
Black-browed Bushtit,Aegithalos bonvaloti
Wood Warbler,Phylloscopus sibilatrix
Buff-barred Warbler,Phylloscopus pulcher
Ashy-throated Warbler,Phylloscopus maculipennis
Hume's Leaf Warbler,Phylloscopus humei
Yellow-browed Warbler,Phylloscopus inornatus
Brooks's Leaf Warbler,Phylloscopus subviridis
Chinese Leaf Warbler,Phylloscopus yunnanensis
Lemon-rumped Warbler,Phylloscopus chloronotus
Sichuan Leaf Warbler,Phylloscopus forresti
Pallas's Leaf Warbler,Phylloscopus proregulus
Tytler's Leaf Warbler,Phylloscopus tytleri
Sulphur-bellied Warbler,Phylloscopus griseolus
Tickell's Leaf Warbler,Phylloscopus affinis
Smoky Warbler,Phylloscopus fuligiventer
Dusky Warbler,Phylloscopus fuscatus
Plain Leaf Warbler,Phylloscopus neglectus
Buff-throated Warbler,Phylloscopus subaffinis
Willow Warbler,Phylloscopus trochilus
Mountain Chiffchaff,Phylloscopus sindianus
Common Chiffchaff,Phylloscopus collybita
White-spectacled Warbler,Phylloscopus intermedius
Grey-cheeked Warbler,Phylloscopus poliogenys
Green-crowned Warbler,Phylloscopus burkii
Grey-crowned Warbler,Phylloscopus tephrocephalus
Whistler's Warbler,Phylloscopus whistleri
Bianchi's Warbler,Phylloscopus valentini
Green Warbler,Phylloscopus nitidus
Two-barred Warbler,Phylloscopus plumbeitarsus
Greenish Warbler,Phylloscopus trochiloides
Large-billed Leaf Warbler,Phylloscopus magnirostris
Sakhalin Leaf Warbler,Phylloscopus borealoides
Pale-legged Leaf Warbler,Phylloscopus tenellipes
Arctic Warbler,Phylloscopus borealis
Chestnut-crowned Warbler,Phylloscopus castaniceps
Yellow-vented Warbler,Phylloscopus cantator
Western Crowned Warbler,Phylloscopus occipitalis
Blyth's Leaf Warbler,Phylloscopus reguloides
Claudia's Leaf Warbler,Phylloscopus claudiae
Grey-hooded Warbler,Phylloscopus xanthoschistos
Great Reed Warbler,Acrocephalus arundinaceus
Oriental Reed Warbler,Acrocephalus orientalis
Clamorous Reed Warbler,Acrocephalus stentoreus
Black-browed Reed Warbler,Acrocephalus bistrigiceps
Moustached Warbler,Acrocephalus melanopogon
Sedge Warbler,Acrocephalus schoenobaenus
Blunt-winged Warbler,Acrocephalus concinens
Large-billed Reed Warbler,Acrocephalus orinus
Paddyfield Warbler,Acrocephalus agricola
Blyth's Reed Warbler,Acrocephalus dumetorum
Thick-billed Warbler,Arundinax aedon
Booted Warbler,Iduna caligata
Sykes's Warbler,Iduna rama
Pallas's Grasshopper Warbler,Helopsaltes certhiola
Lanceolated Warbler,Locustella lanceolata
Long-billed Bush Warbler,Locustella major
Brown Bush Warbler,Locustella luteoventris
Common Grasshopper Warbler,Locustella naevia
Chinese Bush Warbler,Locustella tacsanowskia
Baikal Bush Warbler,Locustella davidi
West Himalayan Bush Warbler,Locustella kashmirensis
Spotted Bush Warbler,Locustella thoracica
Russet Bush Warbler,Locustella mandelli
Striated Grassbird,Megalurus palustris
Broad-tailed Grassbird,Schoenicola platyurus
Bristled Grassbird,Schoenicola striatus
Zitting Cisticola,Cisticola juncidis
Golden-headed Cisticola,Cisticola exilis
Himalayan Prinia,Prinia crinigera
Striped Prinia,Prinia striata
Black-throated Prinia,Prinia atrogularis
Rufous-crowned Prinia,Prinia khasiana
Hill Prinia,Prinia superciliaris
Grey-crowned Prinia,Prinia cinereocapilla
Rufous-fronted Prinia,Prinia buchanani
Rufescent Prinia,Prinia rufescens
Grey-breasted Prinia,Prinia hodgsonii
Delicate Prinia,Prinia lepida
Jungle Prinia,Prinia sylvatica
Yellow-bellied Prinia,Prinia flaviventris
Ashy Prinia,Prinia socialis
Plain Prinia,Prinia inornata
Common Tailorbird,Orthotomus sutorius
Dark-necked Tailorbird,Orthotomus atrogularis
Eurasian Blackcap,Sylvia atricapilla
Garden Warbler,Sylvia borin
Barred Warbler,Curruca nisoria
Lesser Whitethroat,Curruca curruca
Eastern Orphean Warbler,Curruca crassirostris
Asian Desert Warbler,Curruca nana
Common Whitethroat,Curruca communis
Fire-tailed Myzornis,Myzornis pyrrhoura
Golden-breasted Fulvetta,Lioparus chrysotis
Yellow-eyed Babbler,Chrysomma sinense
Jerdon's Babbler,Chrysomma altirostre
White-browed Fulvetta,Fulvetta vinipectus
Brown-throated Fulvetta,Fulvetta ludlowi
Manipur Fulvetta,Fulvetta manipurensis
Black-breasted Parrotbill,Paradoxornis flavirostris
Spot-breasted Parrotbill,Paradoxornis guttaticollis
Great Parrotbill,Paradoxornis aemodius
Brown Parrotbill,Paradoxornis unicolor
Grey-headed Parrotbill,Paradoxornis gularis
White-breasted Parrotbill,Paradoxornis ruficeps
Rufous-headed Parrotbill,Paradoxornis bakeri
Fulvous Parrotbill,Suthora fulvifrons
Black-throated Parrotbill,Suthora nipalensis
Pale-billed Parrotbill,Suthora atrosuperciliaris
Striated Yuhina,Staphida castaniceps
Black-chinned Yuhina,Yuhina nigrimenta
Whiskered Yuhina,Yuhina flavicollis
White-naped Yuhina,Yuhina bakeri
Stripe-throated Yuhina,Yuhina gularis
Rufous-vented Yuhina,Yuhina occipitalis
Chestnut-flanked White-eye,Zosterops erythropleurus
Indian White-eye,Zosterops palpebrosus
Chestnut-capped Babbler,Timalia pileata
Tawny-bellied Babbler,Dumetia hyperythra
Dark-fronted Babbler,Dumetia atriceps
Pin-striped Tit-Babbler,Mixornis gularis
Golden Babbler,Cyanoderma chrysaeum
Black-chinned Babbler,Cyanoderma pyrrhops
Rufous-capped Babbler,Cyanoderma ruficeps
Buff-chested Babbler,Cyanoderma ambiguum
Rufous-throated Wren-Babbler,Spelaeornis caudatus
Mishmi Wren-Babbler,Spelaeornis badeigularis
Bar-winged Wren-Babbler,Spelaeornis troglodytoides
Naga Wren-Babbler,Spelaeornis chocolatinus
Chin Hills Wren-Babbler,Spelaeornis oatesi
Tawny-breasted Wren-Babbler,Spelaeornis longicaudatus
Grey-bellied Wren-Babbler,Spelaeornis reptatus
Black-crowned Scimitar Babbler,Pomatorhinus ferruginosus
Brown-crowned Scimitar Babbler,Pomatorhinus phayrei
Red-billed Scimitar Babbler,Pomatorhinus ochraceiceps
Slender-billed Scimitar Babbler,Pomatorhinus superciliaris
Streak-breasted Scimitar Babbler,Pomatorhinus ruficollis
White-browed Scimitar Babbler,Pomatorhinus schisticeps
Indian Scimitar Babbler,Pomatorhinus horsfieldii
Large Scimitar Babbler,Erythrogenys hypoleucos
Rusty-cheeked Scimitar Babbler,Erythrogenys erythrogenys
Spot-breasted Scimitar Babbler,Erythrogenys mcclellandi
Grey-throated Babbler,Stachyris nigriceps
Sikkim Wedge-billed Babbler,Stachyris humei
Cachar Wedge-billed Babbler,Stachyris roberti
Snowy-throated Babbler,Stachyris oglei
Indian Grassbird,Graminicola bengalensis
White-hooded Babbler,Gampsorhynchus rufulus
Yellow-throated Fulvetta,Schoeniparus cinereus
Rufous-winged Fulvetta,Schoeniparus castaneceps
Rufous-throated Fulvetta,Schoeniparus rufogularis
Rusty-capped Fulvetta,Schoeniparus dubius
Puff-throated Babbler,Pellorneum ruficeps
Marsh Babbler,Pellorneum palustre
Spot-throated Babbler,Pellorneum albiventre
Buff-breasted Babbler,Pellorneum tickelli
Rufous-vented Grass Babbler,Laticilla burnesii
Swamp Grass Babbler,Laticilla cinerascens
Abbott's Babbler,Malacocincla abbotti
Streaked Wren-Babbler,Gypsophila brevicaudata
Eyebrowed Wren-Babbler,Napothera epilepidota
Long-billed Wren-Babbler,Napothera malacoptila
Brown-cheeked Fulvetta,Alcippe poioicephala
Nepal Fulvetta,Alcippe nipalensis
Striated Laughingthrush,Grammatoptila striata
Himalayan Cutia,Cutia nipalensis
Scaly Laughingthrush,Trochalopteron subunicolor
Brown-capped Laughingthrush,Trochalopteron austeni
Blue-winged Laughingthrush,Trochalopteron squamatum
Streaked Laughingthrush,Trochalopteron lineatum
Bhutan Laughingthrush,Trochalopteron imbricatum
Striped Laughingthrush,Trochalopteron virgatum
Variegated Laughingthrush,Trochalopteron variegatum
Black-faced Laughingthrush,Trochalopteron affine
Elliot's Laughingthrush,Trochalopteron elliotii
Chestnut-crowned Laughingthrush,Trochalopteron erythrocephalum
Assam Laughingthrush,Trochalopteron chrysopterum
Banasura Laughingthrush,Montecincla jerdoni
Nilgiri Laughingthrush,Montecincla cachinnans
Palani Laughingthrush,Montecincla fairbanki
Ashambu Laughingthrush,Montecincla meridionalis
Long-tailed Sibia,Heterophasia picaoides
Rufous Sibia,Heterophasia capistrata
Beautiful Sibia,Heterophasia pulchella
Grey Sibia,Heterophasia gracilis
Hoary-throated Barwing,Actinodura nipalensis
Streak-throated Barwing,Actinodura waldeni
Blue-winged Minla,Actinodura cyanouroptera
Bar-throated Minla,Actinodura strigula
Rusty-fronted Barwing,Actinodura egertoni
Red-billed Leiothrix,Leiothrix lutea
Silver-eared Mesia,Leiothrix argentauris
Red-tailed Minla,Minla ignotincta
Rufous-backed Sibia,Leioptila annectens
Bugun Liocichla,Liocichla bugunorum
Red-faced Liocichla,Liocichla phoenicea